There are 16130 degenerate models.
There are 1613 sets of degenerate models with same M g T values but different f values.
There are 0 sets of degenerate models with other varying parameters.

Number of Degeneracies,Models...
10,Albedo_spectra_m0.0_g2.0_T340_f10,Albedo_spectra_m0.0_g2.0_T340_f1,Albedo_spectra_m0.0_g2.0_T340_f2,Albedo_spectra_m0.0_g2.0_T340_f3,Albedo_spectra_m0.0_g2.0_T340_f4,Albedo_spectra_m0.0_g2.0_T340_f5,Albedo_spectra_m0.0_g2.0_T340_f6,Albedo_spectra_m0.0_g2.0_T340_f7,Albedo_spectra_m0.0_g2.0_T340_f8,Albedo_spectra_m0.0_g2.0_T340_f9
10,Albedo_spectra_m0.0_g2.0_T350_f10,Albedo_spectra_m0.0_g2.0_T350_f1,Albedo_spectra_m0.0_g2.0_T350_f2,Albedo_spectra_m0.0_g2.0_T350_f3,Albedo_spectra_m0.0_g2.0_T350_f4,Albedo_spectra_m0.0_g2.0_T350_f5,Albedo_spectra_m0.0_g2.0_T350_f6,Albedo_spectra_m0.0_g2.0_T350_f7,Albedo_spectra_m0.0_g2.0_T350_f8,Albedo_spectra_m0.0_g2.0_T350_f9
10,Albedo_spectra_m0.0_g2.0_T360_f10,Albedo_spectra_m0.0_g2.0_T360_f1,Albedo_spectra_m0.0_g2.0_T360_f2,Albedo_spectra_m0.0_g2.0_T360_f3,Albedo_spectra_m0.0_g2.0_T360_f4,Albedo_spectra_m0.0_g2.0_T360_f5,Albedo_spectra_m0.0_g2.0_T360_f6,Albedo_spectra_m0.0_g2.0_T360_f7,Albedo_spectra_m0.0_g2.0_T360_f8,Albedo_spectra_m0.0_g2.0_T360_f9
10,Albedo_spectra_m0.0_g2.0_T370_f10,Albedo_spectra_m0.0_g2.0_T370_f1,Albedo_spectra_m0.0_g2.0_T370_f2,Albedo_spectra_m0.0_g2.0_T370_f3,Albedo_spectra_m0.0_g2.0_T370_f4,Albedo_spectra_m0.0_g2.0_T370_f5,Albedo_spectra_m0.0_g2.0_T370_f6,Albedo_spectra_m0.0_g2.0_T370_f7,Albedo_spectra_m0.0_g2.0_T370_f8,Albedo_spectra_m0.0_g2.0_T370_f9
10,Albedo_spectra_m0.0_g2.0_T380_f10,Albedo_spectra_m0.0_g2.0_T380_f1,Albedo_spectra_m0.0_g2.0_T380_f2,Albedo_spectra_m0.0_g2.0_T380_f3,Albedo_spectra_m0.0_g2.0_T380_f4,Albedo_spectra_m0.0_g2.0_T380_f5,Albedo_spectra_m0.0_g2.0_T380_f6,Albedo_spectra_m0.0_g2.0_T380_f7,Albedo_spectra_m0.0_g2.0_T380_f8,Albedo_spectra_m0.0_g2.0_T380_f9
10,Albedo_spectra_m0.0_g2.0_T390_f10,Albedo_spectra_m0.0_g2.0_T390_f1,Albedo_spectra_m0.0_g2.0_T390_f2,Albedo_spectra_m0.0_g2.0_T390_f3,Albedo_spectra_m0.0_g2.0_T390_f4,Albedo_spectra_m0.0_g2.0_T390_f5,Albedo_spectra_m0.0_g2.0_T390_f6,Albedo_spectra_m0.0_g2.0_T390_f7,Albedo_spectra_m0.0_g2.0_T390_f8,Albedo_spectra_m0.0_g2.0_T390_f9
10,Albedo_spectra_m0.0_g2.0_T400_f10,Albedo_spectra_m0.0_g2.0_T400_f1,Albedo_spectra_m0.0_g2.0_T400_f2,Albedo_spectra_m0.0_g2.0_T400_f3,Albedo_spectra_m0.0_g2.0_T400_f4,Albedo_spectra_m0.0_g2.0_T400_f5,Albedo_spectra_m0.0_g2.0_T400_f6,Albedo_spectra_m0.0_g2.0_T400_f7,Albedo_spectra_m0.0_g2.0_T400_f8,Albedo_spectra_m0.0_g2.0_T400_f9
10,Albedo_spectra_m0.0_g2.1_T240_f10,Albedo_spectra_m0.0_g2.1_T240_f1,Albedo_spectra_m0.0_g2.1_T240_f2,Albedo_spectra_m0.0_g2.1_T240_f3,Albedo_spectra_m0.0_g2.1_T240_f4,Albedo_spectra_m0.0_g2.1_T240_f5,Albedo_spectra_m0.0_g2.1_T240_f6,Albedo_spectra_m0.0_g2.1_T240_f7,Albedo_spectra_m0.0_g2.1_T240_f8,Albedo_spectra_m0.0_g2.1_T240_f9
10,Albedo_spectra_m0.0_g2.1_T250_f10,Albedo_spectra_m0.0_g2.1_T250_f1,Albedo_spectra_m0.0_g2.1_T250_f2,Albedo_spectra_m0.0_g2.1_T250_f3,Albedo_spectra_m0.0_g2.1_T250_f4,Albedo_spectra_m0.0_g2.1_T250_f5,Albedo_spectra_m0.0_g2.1_T250_f6,Albedo_spectra_m0.0_g2.1_T250_f7,Albedo_spectra_m0.0_g2.1_T250_f8,Albedo_spectra_m0.0_g2.1_T250_f9
10,Albedo_spectra_m0.0_g2.1_T260_f10,Albedo_spectra_m0.0_g2.1_T260_f1,Albedo_spectra_m0.0_g2.1_T260_f2,Albedo_spectra_m0.0_g2.1_T260_f3,Albedo_spectra_m0.0_g2.1_T260_f4,Albedo_spectra_m0.0_g2.1_T260_f5,Albedo_spectra_m0.0_g2.1_T260_f6,Albedo_spectra_m0.0_g2.1_T260_f7,Albedo_spectra_m0.0_g2.1_T260_f8,Albedo_spectra_m0.0_g2.1_T260_f9
10,Albedo_spectra_m0.0_g2.1_T270_f10,Albedo_spectra_m0.0_g2.1_T270_f1,Albedo_spectra_m0.0_g2.1_T270_f2,Albedo_spectra_m0.0_g2.1_T270_f3,Albedo_spectra_m0.0_g2.1_T270_f4,Albedo_spectra_m0.0_g2.1_T270_f5,Albedo_spectra_m0.0_g2.1_T270_f6,Albedo_spectra_m0.0_g2.1_T270_f7,Albedo_spectra_m0.0_g2.1_T270_f8,Albedo_spectra_m0.0_g2.1_T270_f9
10,Albedo_spectra_m0.0_g2.1_T280_f10,Albedo_spectra_m0.0_g2.1_T280_f1,Albedo_spectra_m0.0_g2.1_T280_f2,Albedo_spectra_m0.0_g2.1_T280_f3,Albedo_spectra_m0.0_g2.1_T280_f4,Albedo_spectra_m0.0_g2.1_T280_f5,Albedo_spectra_m0.0_g2.1_T280_f6,Albedo_spectra_m0.0_g2.1_T280_f7,Albedo_spectra_m0.0_g2.1_T280_f8,Albedo_spectra_m0.0_g2.1_T280_f9
10,Albedo_spectra_m0.0_g2.1_T290_f10,Albedo_spectra_m0.0_g2.1_T290_f1,Albedo_spectra_m0.0_g2.1_T290_f2,Albedo_spectra_m0.0_g2.1_T290_f3,Albedo_spectra_m0.0_g2.1_T290_f4,Albedo_spectra_m0.0_g2.1_T290_f5,Albedo_spectra_m0.0_g2.1_T290_f6,Albedo_spectra_m0.0_g2.1_T290_f7,Albedo_spectra_m0.0_g2.1_T290_f8,Albedo_spectra_m0.0_g2.1_T290_f9
10,Albedo_spectra_m0.0_g2.1_T300_f10,Albedo_spectra_m0.0_g2.1_T300_f1,Albedo_spectra_m0.0_g2.1_T300_f2,Albedo_spectra_m0.0_g2.1_T300_f3,Albedo_spectra_m0.0_g2.1_T300_f4,Albedo_spectra_m0.0_g2.1_T300_f5,Albedo_spectra_m0.0_g2.1_T300_f6,Albedo_spectra_m0.0_g2.1_T300_f7,Albedo_spectra_m0.0_g2.1_T300_f8,Albedo_spectra_m0.0_g2.1_T300_f9
10,Albedo_spectra_m0.0_g2.1_T310_f10,Albedo_spectra_m0.0_g2.1_T310_f1,Albedo_spectra_m0.0_g2.1_T310_f2,Albedo_spectra_m0.0_g2.1_T310_f3,Albedo_spectra_m0.0_g2.1_T310_f4,Albedo_spectra_m0.0_g2.1_T310_f5,Albedo_spectra_m0.0_g2.1_T310_f6,Albedo_spectra_m0.0_g2.1_T310_f7,Albedo_spectra_m0.0_g2.1_T310_f8,Albedo_spectra_m0.0_g2.1_T310_f9
